Academic Yr,Category,Ethnicity,Perc FR,FilteredCountFR
2017,Applicants,International,15.82%,27193
2017,Applicants,Unknown,2.68%,4612
2017,Applicants,White,23.38%,40187
2017,Applicants,Asian,25.60%,43992
2017,Applicants,Chicano/Latino,26.32%,45241
2017,Applicants,American Indian,0.56%,969
2017,Applicants,African American,5.62%,9664
2017,Applicants,All,100.00%,171858
2016,Applicants,International,16.46%,27409
2016,Applicants,Unknown,2.79%,4642
2016,Applicants,White,24.24%,40372
2016,Applicants,Asian,25.54%,42544
2016,Applicants,Chicano/Latino,24.82%,41334
2016,Applicants,American Indian,0.56%,936
2016,Applicants,African American,5.60%,9325
2016,Applicants,All,100.00%,166562
2015,Applicants,International,15.77%,24960
2015,Applicants,Unknown,2.88%,4553
2015,Applicants,White,24.52%,38814
2015,Applicants,Asian,26.36%,41726
2015,Applicants,Chicano/Latino,24.31%,38484
2015,Applicants,American Indian,0.61%,965
2015,Applicants,African American,5.56%,8804
2015,Applicants,All,100.00%,158306
2014,Applicants,International,15.39%,22892
2014,Applicants,Unknown,2.58%,3842
2014,Applicants,White,25.19%,37483
2014,Applicants,Asian,26.98%,40141
2014,Applicants,Chicano/Latino,23.84%,35464
2014,Applicants,American Indian,0.68%,1018
2014,Applicants,African American,5.33%,7932
2014,Applicants,All,100.00%,148772
2013,Applicants,International,13.50%,18905
2013,Applicants,Unknown,2.71%,3795
2013,Applicants,White,26.14%,36604
2013,Applicants,Asian,27.08%,37921
2013,Applicants,Chicano/Latino,24.43%,34212
2013,Applicants,American Indian,0.65%,904
2013,Applicants,African American,5.49%,7683
2013,Applicants,All,100.00%,140024
2012,Applicants,International,11.22%,14197
2012,Applicants,Unknown,2.56%,3236
2012,Applicants,White,27.22%,34446
2012,Applicants,Asian,28.84%,36501
2012,Applicants,Chicano/Latino,23.74%,30047
2012,Applicants,American Indian,0.70%,890
2012,Applicants,African American,5.71%,7232
2012,Applicants,All,100.00%,126549
2011,Applicants,International,8.02%,8530
2011,Applicants,Unknown,2.35%,2496
2011,Applicants,White,29.49%,31354
2011,Applicants,Asian,30.20%,32104
2011,Applicants,Chicano/Latino,23.76%,25256
2011,Applicants,American Indian,0.71%,759
2011,Applicants,African American,5.47%,5810
2011,Applicants,All,100.00%,106309
2010,Applicants,International,6.76%,6791
2010,Applicants,Unknown,5.20%,5226
2010,Applicants,White,30.40%,30551
2010,Applicants,Asian,29.97%,30115
2010,Applicants,Chicano/Latino,21.33%,21436
2010,Applicants,American Indian,0.83%,835
2010,Applicants,African American,5.51%,5534
2010,Applicants,All,100.00%,100488
2009,Applicants,International,6.08%,5974
2009,Applicants,Unknown,4.87%,4786
2009,Applicants,White,32.75%,32159
2009,Applicants,Asian,30.06%,29517
2009,Applicants,Chicano/Latino,20.55%,20185
2009,Applicants,American Indian,0.67%,658
2009,Applicants,African American,5.02%,4925
2009,Applicants,All,100.00%,98204
2008,Applicants,International,4.83%,4618
2008,Applicants,Unknown,6.22%,5941
2008,Applicants,White,34.27%,32746
2008,Applicants,Asian,29.77%,28453
2008,Applicants,Chicano/Latino,19.41%,18550
2008,Applicants,American Indian,0.61%,585
2008,Applicants,African American,4.89%,4670
2008,Applicants,All,100.00%,95563
2007,Applicants,International,4.18%,3662
2007,Applicants,Unknown,5.95%,5217
2007,Applicants,White,35.30%,30937
2007,Applicants,Asian,31.40%,27516
2007,Applicants,Chicano/Latino,17.95%,15728
2007,Applicants,American Indian,0.62%,546
2007,Applicants,African American,4.59%,4025
2007,Applicants,All,100.00%,87631
2006,Applicants,International,3.69%,3072
2006,Applicants,Unknown,6.30%,5238
2006,Applicants,White,35.78%,29769
2006,Applicants,Asian,32.11%,26712
2006,Applicants,Chicano/Latino,17.06%,14194
2006,Applicants,American Indian,0.65%,543
2006,Applicants,African American,4.41%,3671
2006,Applicants,All,100.00%,83199
2005,Applicants,International,3.45%,2643
2005,Applicants,Unknown,6.64%,5080
2005,Applicants,White,37.51%,28696
2005,Applicants,Asian,30.85%,23602
2005,Applicants,Chicano/Latino,16.71%,12781
2005,Applicants,American Indian,0.61%,467
2005,Applicants,African American,4.23%,3239
2005,Applicants,All,100.00%,76508
2004,Applicants,International,2.84%,2129
2004,Applicants,Unknown,8.52%,6390
2004,Applicants,White,37.23%,27912
2004,Applicants,Asian,30.63%,22961
2004,Applicants,Chicano/Latino,15.89%,11914
2004,Applicants,American Indian,0.65%,484
2004,Applicants,African American,4.24%,3177
2004,Applicants,All,100.00%,74967
2003,Applicants,International,3.06%,2397
2003,Applicants,Unknown,9.44%,7385
2003,Applicants,White,37.50%,29331
2003,Applicants,Asian,29.75%,23263
2003,Applicants,Chicano/Latino,15.28%,11950
2003,Applicants,American Indian,0.61%,474
2003,Applicants,African American,4.36%,3408
2003,Applicants,All,100.00%,78208
2002,Applicants,International,3.09%,2320
2002,Applicants,Unknown,8.33%,6259
2002,Applicants,White,38.76%,29124
2002,Applicants,Asian,30.81%,23148
2002,Applicants,Chicano/Latino,14.22%,10688
2002,Applicants,American Indian,0.64%,481
2002,Applicants,African American,4.15%,3119
2002,Applicants,All,100.00%,75139
2001,Applicants,International,3.95%,2886
2001,Applicants,Unknown,9.10%,6647
2001,Applicants,White,38.30%,27990
2001,Applicants,Asian,30.59%,22350
2001,Applicants,Chicano/Latino,13.50%,9862
2001,Applicants,American Indian,0.61%,448
2001,Applicants,African American,3.96%,2892
2001,Applicants,All,100.00%,73075
2000,Applicants,International,3.36%,2289
2000,Applicants,Unknown,9.23%,6296
2000,Applicants,White,39.42%,26890
2000,Applicants,Asian,30.80%,21005
2000,Applicants,Chicano/Latino,12.73%,8683
2000,Applicants,American Indian,0.62%,421
2000,Applicants,African American,3.85%,2623
2000,Applicants,All,100.00%,68207
1999,Applicants,International,3.14%,2069
1999,Applicants,Unknown,8.76%,5776
1999,Applicants,White,40.49%,26684
1999,Applicants,Asian,30.86%,20339
1999,Applicants,Chicano/Latino,12.30%,8105
1999,Applicants,American Indian,0.69%,452
1999,Applicants,African American,3.76%,2476
1999,Applicants,All,100.00%,65901
1998,Applicants,International,3.11%,1912
1998,Applicants,Unknown,15.48%,9530
1998,Applicants,White,35.41%,21798
1998,Applicants,Asian,29.09%,17909
1998,Applicants,Chicano/Latino,12.36%,7609
1998,Applicants,American Indian,0.75%,463
1998,Applicants,African American,3.81%,2346
1998,Applicants,All,100.00%,61567
1997,Applicants,International,3.55%,2019
1997,Applicants,Unknown,5.35%,3041
1997,Applicants,White,42.32%,24058
1997,Applicants,Asian,31.37%,17834
1997,Applicants,Chicano/Latino,12.66%,7199
1997,Applicants,American Indian,0.70%,396
1997,Applicants,African American,4.05%,2304
1997,Applicants,All,100.00%,56851
1996,Applicants,International,2.53%,1376
1996,Applicants,Unknown,6.81%,3713
1996,Applicants,White,40.86%,22264
1996,Applicants,Asian,30.86%,16814
1996,Applicants,Chicano/Latino,13.66%,7441
1996,Applicants,American Indian,0.82%,449
1996,Applicants,African American,4.45%,2426
1996,Applicants,All,100.00%,54483
1995,Applicants,International,2.98%,1542
1995,Applicants,Unknown,6.01%,3112
1995,Applicants,White,40.43%,20917
1995,Applicants,Asian,30.24%,15647
1995,Applicants,Chicano/Latino,14.70%,7603
1995,Applicants,American Indian,0.96%,495
1995,Applicants,African American,4.68%,2422
1995,Applicants,All,100.00%,51738
1994,Applicants,International,2.52%,1228
1994,Applicants,Unknown,5.49%,2678
1994,Applicants,White,40.41%,19720
1994,Applicants,Asian,31.63%,15436
1994,Applicants,Chicano/Latino,14.52%,7084
1994,Applicants,American Indian,0.80%,388
1994,Applicants,African American,4.65%,2268
1994,Applicants,All,100.00%,48802
2017,Admits,International,17.24%,18067
2017,Admits,Unknown,2.79%,2928
2017,Admits,White,22.84%,23941
2017,Admits,Asian,29.15%,30559
2017,Admits,Chicano/Latino,23.29%,24414
2017,Admits,American Indian,0.54%,561
2017,Admits,African American,4.15%,4352
2017,Admits,All,100.00%,104822
2016,Admits,International,16.34%,17169
2016,Admits,Unknown,2.92%,3071
2016,Admits,White,23.86%,25073
2016,Admits,Asian,29.01%,30485
2016,Admits,Chicano/Latino,23.20%,24377
2016,Admits,American Indian,0.52%,544
2016,Admits,African American,4.15%,4358
2016,Admits,All,100.00%,105077
2015,Admits,International,16.72%,15277
2015,Admits,Unknown,3.01%,2754
2015,Admits,White,24.22%,22134
2015,Admits,Asian,30.62%,27976
2015,Admits,Chicano/Latino,21.16%,19340
2015,Admits,American Indian,0.58%,529
2015,Admits,African American,3.69%,3369
2015,Admits,All,100.00%,91379
2014,Admits,International,15.15%,13514
2014,Admits,Unknown,2.73%,2433
2014,Admits,White,25.16%,22442
2014,Admits,Asian,30.99%,27640
2014,Admits,Chicano/Latino,21.58%,19246
2014,Admits,American Indian,0.63%,561
2014,Admits,African American,3.76%,3349
2014,Admits,All,100.00%,89185
2013,Admits,International,13.13%,11328
2013,Admits,Unknown,2.99%,2577
2013,Admits,White,26.78%,23101
2013,Admits,Asian,31.21%,26922
2013,Admits,Chicano/Latino,21.49%,18537
2013,Admits,American Indian,0.57%,489
2013,Admits,African American,3.84%,3315
2013,Admits,All,100.00%,86269
2012,Admits,International,10.49%,8793
2012,Admits,Unknown,2.70%,2261
2012,Admits,White,27.90%,23399
2012,Admits,Asian,32.57%,27310
2012,Admits,Chicano/Latino,21.56%,18080
2012,Admits,American Indian,0.68%,571
2012,Admits,African American,4.11%,3445
2012,Admits,All,100.00%,83859
2011,Admits,International,7.34%,5586
2011,Admits,Unknown,2.44%,1856
2011,Admits,White,30.16%,22952
2011,Admits,Asian,33.43%,25439
2011,Admits,Chicano/Latino,21.94%,16696
2011,Admits,American Indian,0.67%,511
2011,Admits,African American,4.02%,3059
2011,Admits,All,100.00%,76099
2010,Admits,International,4.52%,3567
2010,Admits,Unknown,5.37%,4244
2010,Admits,White,32.15%,25396
2010,Admits,Asian,32.41%,25600
2010,Admits,Chicano/Latino,20.69%,16340
2010,Admits,American Indian,0.83%,656
2010,Admits,African American,4.03%,3181
2010,Admits,All,100.00%,78984
2009,Admits,International,3.33%,2548
2009,Admits,Unknown,5.16%,3945
2009,Admits,White,34.29%,26244
2009,Admits,Asian,32.58%,24933
2009,Admits,Chicano/Latino,20.11%,15387
2009,Admits,American Indian,0.68%,518
2009,Admits,African American,3.86%,2951
2009,Admits,All,100.00%,76526
2008,Admits,International,2.95%,2264
2008,Admits,Unknown,6.43%,4931
2008,Admits,White,35.39%,27139
2008,Admits,Asian,31.81%,24392
2008,Admits,Chicano/Latino,19.03%,14597
2008,Admits,American Indian,0.57%,437
2008,Admits,African American,3.82%,2931
2008,Admits,All,100.00%,76691
2007,Admits,International,2.33%,1660
2007,Admits,Unknown,6.16%,4389
2007,Admits,White,36.20%,25802
2007,Admits,Asian,33.41%,23811
2007,Admits,Chicano/Latino,17.53%,12497
2007,Admits,American Indian,0.61%,436
2007,Admits,African American,3.75%,2676
2007,Admits,All,100.00%,71271
2006,Admits,International,2.14%,1460
2006,Admits,Unknown,6.54%,4461
2006,Admits,White,36.42%,24854
2006,Admits,Asian,34.08%,23261
2006,Admits,Chicano/Latino,16.69%,11390
2006,Admits,American Indian,0.62%,424
2006,Admits,African American,3.52%,2399
2006,Admits,All,100.00%,68249
2005,Admits,International,1.95%,1199
2005,Admits,Unknown,6.83%,4193
2005,Admits,White,38.69%,23765
2005,Admits,Asian,32.69%,20077
2005,Admits,Chicano/Latino,15.98%,9813
2005,Admits,American Indian,0.57%,352
2005,Admits,African American,3.29%,2021
2005,Admits,All,100.00%,61420
2004,Admits,International,1.79%,983
2004,Admits,Unknown,8.77%,4814
2004,Admits,White,37.83%,20763
2004,Admits,Asian,32.75%,17976
2004,Admits,Chicano/Latino,15.14%,8308
2004,Admits,American Indian,0.56%,306
2004,Admits,African American,3.15%,1731
2004,Admits,All,100.00%,54881
2003,Admits,International,1.51%,943
2003,Admits,Unknown,9.62%,6000
2003,Admits,White,38.89%,24256
2003,Admits,Asian,31.16%,19431
2003,Admits,Chicano/Latino,14.75%,9200
2003,Admits,American Indian,0.56%,350
2003,Admits,African American,3.50%,2184
2003,Admits,All,100.00%,62364
2002,Admits,International,1.43%,845
2002,Admits,Unknown,8.46%,4984
2002,Admits,White,39.91%,23499
2002,Admits,Asian,32.15%,18934
2002,Admits,Chicano/Latino,14.09%,8299
2002,Admits,American Indian,0.63%,369
2002,Admits,African American,3.32%,1956
2002,Admits,All,100.00%,58886
2001,Admits,International,1.90%,1081
2001,Admits,Unknown,9.37%,5327
2001,Admits,White,39.59%,22516
2001,Admits,Asian,31.78%,18071
